oppervlakte_m2,index_right,buurtcode,p_le_2,netto_splitsbaar_m2,max_units_after_split,split_feasible,units_added_if_split,expected_units_added
173,5536.0,BU04060001,0.486,155.70000000000002,2,True,1,0.048600000000000004
262,5536.0,BU04060001,0.6639999999999999,235.8,2,True,1,0.0664
165,5536.0,BU04060001,0.47,148.5,2,True,1,0.047
3021,5552.0,BU04060513,0.9,2718.9,2,True,1,0.09000000000000001
182,5536.0,BU04060001,0.504,163.8,2,True,1,0.0504
5410,5538.0,BU04060103,0.9,4869.0,2,True,1,0.09000000000000001
130,5538.0,BU04060103,0.4,117.0,2,True,1,0.04000000000000001
174,5536.0,BU04060001,0.488,156.6,2,True,1,0.0488
342,5555.0,BU04060716,0.8240000000000001,307.8,2,True,1,0.08240000000000001
4838,5541.0,BU04060206,0.9,4354.2,2,True,1,0.09000000000000001
182,5536.0,BU04060001,0.504,163.8,2,True,1,0.0504
165,5536.0,BU04060001,0.47,148.5,2,True,1,0.047
200,5547.0,BU04060330,0.54,180.0,2,True,1,0.054000000000000006
200,5536.0,BU04060001,0.54,180.0,2,True,1,0.054000000000000006
165,5536.0,BU04060001,0.47,148.5,2,True,1,0.047
173,5536.0,BU04060001,0.486,155.70000000000002,2,True,1,0.048600000000000004
305,5552.0,BU04060513,0.75,274.5,2,True,1,0.07500000000000001
471,5552.0,BU04060513,0.9,423.90000000000003,2,True,1,0.09000000000000001
186,5564.0,BU04061226,0.512,167.4,2,True,1,0.0512
276,5564.0,BU04061226,0.692,248.4,2,True,1,0.0692
189,5564.0,BU04061226,0.518,170.1,2,True,1,0.051800000000000006
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
189,5564.0,BU04061226,0.518,170.1,2,True,1,0.051800000000000006
187,5564.0,BU04061226,0.514,168.3,2,True,1,0.0514
188,5564.0,BU04061226,0.516,169.20000000000002,2,True,1,0.05160000000000001
294,5564.0,BU04061226,0.728,264.6,2,True,1,0.0728
228,5556.0,BU04060817,0.596,205.20000000000002,2,True,1,0.0596
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
237,5536.0,BU04060001,0.614,213.3,2,True,1,0.0614
548,5553.0,BU04060614,0.9,493.2,2,True,1,0.09000000000000001
134,5536.0,BU04060001,0.408,120.60000000000001,2,True,1,0.0408
124,5536.0,BU04060001,0.388,111.60000000000001,2,True,1,0.0388
123,5536.0,BU04060001,0.386,110.7,2,True,1,0.0386
173,5536.0,BU04060001,0.486,155.70000000000002,2,True,1,0.048600000000000004
165,5536.0,BU04060001,0.47,148.5,2,True,1,0.047
184,5536.0,BU04060001,0.508,165.6,2,True,1,0.050800000000000005
176,5536.0,BU04060001,0.492,158.4,2,True,1,0.0492
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
173,5536.0,BU04060001,0.486,155.70000000000002,2,True,1,0.048600000000000004
236,5536.0,BU04060001,0.612,212.4,2,True,1,0.061200000000000004
868,5536.0,BU04060001,0.9,781.2,2,True,1,0.09000000000000001
156,5536.0,BU04060001,0.45199999999999996,140.4,2,True,1,0.0452
164,5536.0,BU04060001,0.46799999999999997,147.6,2,True,1,0.0468
519,5552.0,BU04060513,0.9,467.1,2,True,1,0.09000000000000001
150,5557.0,BU04060818,0.44,135.0,2,True,1,0.044000000000000004
153,5557.0,BU04060818,0.44599999999999995,137.70000000000002,2,True,1,0.0446
150,5557.0,BU04060818,0.44,135.0,2,True,1,0.044000000000000004
301,5541.0,BU04060206,0.742,270.90000000000003,2,True,1,0.0742
345,5536.0,BU04060001,0.8300000000000001,310.5,2,True,1,0.08300000000000002
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
240,5561.0,BU04061123,0.62,216.0,2,True,1,0.062
324,5549.0,BU04060410,0.788,291.6,2,True,1,0.07880000000000001
122,5555.0,BU04060716,0.384,109.8,2,True,1,0.038400000000000004
455,5552.0,BU04060513,0.9,409.5,2,True,1,0.09000000000000001
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
1103,5539.0,BU04060204,0.9,992.7,2,True,1,0.09000000000000001
1931,5552.0,BU04060513,0.9,1737.9,2,True,1,0.09000000000000001
125,5536.0,BU04060001,0.39,112.5,2,True,1,0.03900000000000001
242,5536.0,BU04060001,0.624,217.8,2,True,1,0.062400000000000004
122,5555.0,BU04060716,0.384,109.8,2,True,1,0.038400000000000004
720,5551.0,BU04060512,0.9,648.0,2,True,1,0.09000000000000001
126,5555.0,BU04060716,0.392,113.4,2,True,1,0.039200000000000006
235,5555.0,BU04060716,0.61,211.5,2,True,1,0.061
120,5536.0,BU04060001,0.38,108.0,2,True,1,0.038000000000000006
205,5536.0,BU04060001,0.55,184.5,2,True,1,0.05500000000000001
146,5552.0,BU04060513,0.432,131.4,2,True,1,0.0432
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
205,5536.0,BU04060001,0.55,184.5,2,True,1,0.05500000000000001
127,5552.0,BU04060513,0.394,114.3,2,True,1,0.039400000000000004
205,5536.0,BU04060001,0.55,184.5,2,True,1,0.05500000000000001
140,5552.0,BU04060513,0.42,126.0,2,True,1,0.042
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
205,5536.0,BU04060001,0.55,184.5,2,True,1,0.05500000000000001
230,5536.0,BU04060001,0.6,207.0,2,True,1,0.06
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
152,5553.0,BU04060614,0.444,136.8,2,True,1,0.0444
210,5553.0,BU04060614,0.56,189.0,2,True,1,0.05600000000000001
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
155,5564.0,BU04061226,0.44999999999999996,139.5,2,True,1,0.045
140,5564.0,BU04061226,0.42,126.0,2,True,1,0.042
155,5564.0,BU04061226,0.44999999999999996,139.5,2,True,1,0.045
155,5564.0,BU04061226,0.44999999999999996,139.5,2,True,1,0.045
155,5564.0,BU04061226,0.44999999999999996,139.5,2,True,1,0.045
149,5552.0,BU04060513,0.438,134.1,2,True,1,0.043800000000000006
135,5552.0,BU04060513,0.41,121.5,2,True,1,0.041
130,5552.0,BU04060513,0.4,117.0,2,True,1,0.04000000000000001
127,5552.0,BU04060513,0.394,114.3,2,True,1,0.039400000000000004
127,5552.0,BU04060513,0.394,114.3,2,True,1,0.039400000000000004
167,5536.0,BU04060001,0.474,150.3,2,True,1,0.0474
164,5536.0,BU04060001,0.46799999999999997,147.6,2,True,1,0.0468
130,5536.0,BU04060001,0.4,117.0,2,True,1,0.04000000000000001
156,5536.0,BU04060001,0.45199999999999996,140.4,2,True,1,0.0452
167,5536.0,BU04060001,0.474,150.3,2,True,1,0.0474
289,5555.0,BU04060716,0.718,260.1,2,True,1,0.0718
156,5564.0,BU04061226,0.45199999999999996,140.4,2,True,1,0.0452
435,5536.0,BU04060001,0.9,391.5,2,True,1,0.09000000000000001
489,5555.0,BU04060716,0.9,440.1,2,True,1,0.09000000000000001
140,5564.0,BU04061226,0.42,126.0,2,True,1,0.042
979,5536.0,BU04060001,0.9,881.1,2,True,1,0.09000000000000001
330,5552.0,BU04060513,0.8,297.0,2,True,1,0.08000000000000002
1873,5555.0,BU04060716,0.9,1685.7,2,True,1,0.09000000000000001
330,5555.0,BU04060716,0.8,297.0,2,True,1,0.08000000000000002
845,5555.0,BU04060716,0.9,760.5,2,True,1,0.09000000000000001
151,5537.0,BU04060002,0.442,135.9,2,True,1,0.0442
384,5556.0,BU04060817,0.9,345.6,2,True,1,0.09000000000000001
270,5556.0,BU04060817,0.6799999999999999,243.0,2,True,1,0.06799999999999999
924,5556.0,BU04060817,0.9,831.6,2,True,1,0.09000000000000001
149,5537.0,BU04060002,0.438,134.1,2,True,1,0.043800000000000006
924,5556.0,BU04060817,0.9,831.6,2,True,1,0.09000000000000001
719,5556.0,BU04060817,0.9,647.1,2,True,1,0.09000000000000001
149,5537.0,BU04060002,0.438,134.1,2,True,1,0.043800000000000006
125,5553.0,BU04060614,0.39,112.5,2,True,1,0.03900000000000001
447,5549.0,BU04060410,0.9,402.3,2,True,1,0.09000000000000001
149,5537.0,BU04060002,0.438,134.1,2,True,1,0.043800000000000006
979,5536.0,BU04060001,0.9,881.1,2,True,1,0.09000000000000001
120,5559.0,BU04061020,0.38,108.0,2,True,1,0.038000000000000006
435,5536.0,BU04060001,0.9,391.5,2,True,1,0.09000000000000001
580,5555.0,BU04060716,0.9,522.0,2,True,1,0.09000000000000001
369,5549.0,BU04060410,0.8779999999999999,332.1,2,True,1,0.08779999999999999
202,5536.0,BU04060001,0.544,181.8,2,True,1,0.054400000000000004
145,5544.0,BU04060327,0.43,130.5,2,True,1,0.043000000000000003
172,5537.0,BU04060002,0.484,154.8,2,True,1,0.0484
172,5537.0,BU04060002,0.484,154.8,2,True,1,0.0484
153,5537.0,BU04060002,0.44599999999999995,137.70000000000002,2,True,1,0.0446
175,5537.0,BU04060002,0.49,157.5,2,True,1,0.049
121,5537.0,BU04060002,0.382,108.9,2,True,1,0.038200000000000005
150,5537.0,BU04060002,0.44,135.0,2,True,1,0.044000000000000004
122,5537.0,BU04060002,0.384,109.8,2,True,1,0.038400000000000004
148,5537.0,BU04060002,0.436,133.20000000000002,2,True,1,0.0436
142,5537.0,BU04060002,0.424,127.8,2,True,1,0.0424
122,5537.0,BU04060002,0.384,109.8,2,True,1,0.038400000000000004
122,5537.0,BU04060002,0.384,109.8,2,True,1,0.038400000000000004
148,5537.0,BU04060002,0.436,133.20000000000002,2,True,1,0.0436
148,5537.0,BU04060002,0.436,133.20000000000002,2,True,1,0.0436
148,5537.0,BU04060002,0.436,133.20000000000002,2,True,1,0.0436
171,5547.0,BU04060330,0.482,153.9,2,True,1,0.0482
131,5537.0,BU04060002,0.402,117.9,2,True,1,0.04020000000000001
138,5537.0,BU04060002,0.416,124.2,2,True,1,0.0416
138,5537.0,BU04060002,0.416,124.2,2,True,1,0.0416
353,5552.0,BU04060513,0.8460000000000001,317.7,2,True,1,0.08460000000000001
353,5552.0,BU04060513,0.8460000000000001,317.7,2,True,1,0.08460000000000001
501,5541.0,BU04060206,0.9,450.90000000000003,2,True,1,0.09000000000000001
526,5543.0,BU04060308,0.9,473.40000000000003,2,True,1,0.09000000000000001
2058,5554.0,BU04060615,0.9,1852.2,2,True,1,0.09000000000000001
841,5536.0,BU04060001,0.9,756.9,2,True,1,0.09000000000000001
141,5562.0,BU04061124,0.422,126.9,2,True,1,0.0422
668,5552.0,BU04060513,0.9,601.2,2,True,1,0.09000000000000001
707,5552.0,BU04060513,0.9,636.3000000000001,2,True,1,0.09000000000000001
1953,5557.0,BU04060818,0.9,1757.7,2,True,1,0.09000000000000001
245,5536.0,BU04060001,0.63,220.5,2,True,1,0.063
137,5537.0,BU04060002,0.414,123.3,2,True,1,0.0414
342,5536.0,BU04060001,0.8240000000000001,307.8,2,True,1,0.08240000000000001
240,5536.0,BU04060001,0.62,216.0,2,True,1,0.062
225,5549.0,BU04060410,0.59,202.5,2,True,1,0.059
1899,5557.0,BU04060818,0.9,1709.1000000000001,2,True,1,0.09000000000000001
1821,5553.0,BU04060614,0.9,1638.9,2,True,1,0.09000000000000001
1606,5552.0,BU04060513,0.9,1445.4,2,True,1,0.09000000000000001
850,5552.0,BU04060513,0.9,765.0,2,True,1,0.09000000000000001
202,5552.0,BU04060513,0.544,181.8,2,True,1,0.054400000000000004
3308,5552.0,BU04060513,0.9,2977.2000000000003,2,True,1,0.09000000000000001
123,5543.0,BU04060308,0.386,110.7,2,True,1,0.0386
840,5552.0,BU04060513,0.9,756.0,2,True,1,0.09000000000000001
162,5552.0,BU04060513,0.46399999999999997,145.8,2,True,1,0.0464
162,5552.0,BU04060513,0.46399999999999997,145.8,2,True,1,0.0464
980,5552.0,BU04060513,0.9,882.0,2,True,1,0.09000000000000001
142,5538.0,BU04060103,0.424,127.8,2,True,1,0.0424
135,5562.0,BU04061124,0.41,121.5,2,True,1,0.041
200,5547.0,BU04060330,0.54,180.0,2,True,1,0.054000000000000006
303,5549.0,BU04060410,0.746,272.7,2,True,1,0.0746
3395,5552.0,BU04060513,0.9,3055.5,2,True,1,0.09000000000000001
157,5537.0,BU04060002,0.45399999999999996,141.3,2,True,1,0.045399999999999996
256,5553.0,BU04060614,0.6519999999999999,230.4,2,True,1,0.0652
369,5553.0,BU04060614,0.8779999999999999,332.1,2,True,1,0.08779999999999999
369,5553.0,BU04060614,0.8779999999999999,332.1,2,True,1,0.08779999999999999
156,5559.0,BU04061020,0.45199999999999996,140.4,2,True,1,0.0452
127,5557.0,BU04060818,0.394,114.3,2,True,1,0.039400000000000004
484,5550.0,BU04060511,0.9,435.6,2,True,1,0.09000000000000001
387,5536.0,BU04060001,0.9,348.3,2,True,1,0.09000000000000001
387,5536.0,BU04060001,0.9,348.3,2,True,1,0.09000000000000001
387,5536.0,BU04060001,0.9,348.3,2,True,1,0.09000000000000001
170,5553.0,BU04060614,0.48,153.0,2,True,1,0.048
405,5559.0,BU04061020,0.9,364.5,2,True,1,0.09000000000000001
214,5562.0,BU04061124,0.5680000000000001,192.6,2,True,1,0.05680000000000001
223,5538.0,BU04060103,0.5860000000000001,200.70000000000002,2,True,1,0.05860000000000001
200,5556.0,BU04060817,0.54,180.0,2,True,1,0.054000000000000006
325,5556.0,BU04060817,0.79,292.5,2,True,1,0.07900000000000001
325,5556.0,BU04060817,0.79,292.5,2,True,1,0.07900000000000001
364,5556.0,BU04060817,0.8680000000000001,327.6,2,True,1,0.08680000000000002
201,5553.0,BU04060614,0.542,180.9,2,True,1,0.054200000000000005
